soru,ders,konu,zorluk,A,B,C,D,dogrucevap
"Yağmurda yayaların yanından geçerken dikkatli olmak neden önemlidir?",Trafik Adabı,Saygı,Kolay,"Zaman kaybı olmasın diye","Su sıçratıp rahatsız etmemek için","Hız için","Ceza için",B
"Trafikte agresif sürücüye karşı en doğru tepki nedir?",Trafik Adabı,Öfke Yönetimi,Orta,"Karşılık vermek","Sakin kalıp güvenli mesafe bırakmak","Yolunu kesmek","Korna çalmak",B
"Sürücünün en temel sorumluluğu nedir?",Trafik Adabı,Sorumluluk,Kolay,"Hızlı varmak","Kendi ve başkalarının can güvenliğini korumak","Gösteriş yapmak","Yakıt bulmak",B
"Trafikte hoşgörü neden gereklidir?",Trafik Adabı,Hoşgörü,Orta,"Ceza almamak için","Herkesin hata yapabileceğini kabul edip gerginliği azaltmak için","Hız için","Yarış için",B
"Engelli bireylerin araçlarına ayrılan park yerine park etmek nasıl bir davranıştır?",Trafik Adabı,Saygı,Kolay,"Serbest","Saygısız ve yanlış","Gerekli","Zorunlu",B
"Trafikte iyi bir rol model olmak ne sağlar?",Trafik Adabı,Değerler,Orta,"Rekabet","Toplumda olumlu davranışın yaygınlaşması","Hız","Gösteriş",B
"Yola tükürmek çöp atmak trafik açısından nasıl değerlendirilir?",Trafik Adabı,Çevre,Kolay,"Normal","Çevreye ve topluma saygısızlık","Zorunlu","Faydalı",B
"Sürücü olarak yayalara karşı öncelikli tutumumuz ne olmalıdır?",Trafik Adabı,Saygı,Kolay,"Onları hızlandırmak","Güvenliklerini gözetip yol vermek","Korna çalmak","Yakın geçmek",B
"Trafikte kaza gördüğümüzde adabımıza uygun davranış nedir?",Trafik Adabı,Yardımlaşma,Orta,"Sadece izlemek","Güvenliği sağlayıp yardım etmek ve haber vermek","Fotoğraf çekip geçmek","Uzaklaşmak",B
"Toplu taşıma ve okul servislerine karşı sürücü nasıl davranmalıdır?",Trafik Adabı,Saygı,Orta,"Sıkıştırmak","Anlayışlı olup gerektiğinde yol vermek","Korna çalmak","Sollamak",B
"Direksiyon başında telefonla konuşmak neyi ihlal eder?",Trafik Adabı,Sorumluluk,Kolay,"Sadece adabı","Hem kuralı hem güvenliği ve dikkati","Sadece hızı","Hiçbir şeyi",B
"Kavşakta sıkışıklık varken kavşağa girmemek hangi davranıştır?",Trafik Adabı,Sorumluluk,Orta,"Korkaklık","Trafiği kilitlememek için olgun davranış","Zaman kaybı","Gereksiz",B
"Trafikte selamlaşma ve teşekkür kültürü neyi güçlendirir?",Trafik Adabı,İletişim,Kolay,"Rekabeti","Sürücüler arası olumlu iletişimi","Hızı","Cezayı",B
"Yeni sürücülerin en çok geliştirmesi gereken özellik nedir?",Trafik Adabı,Değerler,Orta,"Hız","Sabır ve dikkat","Gösteriş","Rekabet",B
"Trafikte kural ve adaba uyum ne zaman gereklidir?",Trafik Adabı,Temel Kavramlar,Kolay,"Sadece polis varken","Her zaman","Sadece gündüz","Sadece şehir içinde",B
"Sürücünün ruh hâli sürüşü nasıl etkiler?",Trafik Adabı,Öfke Yönetimi,Orta,"Etkilemez","Öfke ve stres dikkati azaltıp riski artırır","Sadece hızı artırır","Yakıtı artırır",B
"Trafikte 'geç bakalım' diye ısrarla yol vermemek nasıl bir tutumdur?",Trafik Adabı,Empati,Orta,"Haklı","Bencil ve riskli","Gerekli","Olgun",B
"Uzun yol öncesi araç bakımını yaptırmak hangi bilinci gösterir?",Trafik Adabı,Sorumluluk,Kolay,"Gereksizlik","Güvenlik ve sorumluluk bilinci","Gösteriş","Zaman kaybı",B
"Trafikte çocuk ve yaşlı yayalara karşı nasıl davranılmalıdır?",Trafik Adabı,Saygı,Kolay,"Aynı hızla geçmek","Daha dikkatli ve korumacı","Korna çalmak","Yakın geçmek",B
"Aşırı hız yapmak trafik adabı açısından ne anlama gelir?",Trafik Adabı,Değerler,Orta,"Ustalık","Başkalarının güvenliğini hiçe saymak","Zorunluluk","Nezaket",B
"Sürücünün trafikte güven vermesi en çok neye bağlıdır?",Trafik Adabı,Değerler,Orta,"Aracın markasına","Kurallara ve adaba tutarlı biçimde uymasına","Hızına","Kornasına",B
"Trafik adabı eğitiminin nihai hedefi nedir?",Trafik Adabı,Temel Kavramlar,Orta,"Daha çok araç satmak","Saygılı güvenli ve paylaşımcı bir trafik kültürü oluşturmak","Hızlı ulaşım","Ceza geliri",B
