soru,ders,konu,zorluk,A,B,C,D,dogrucevap
"İlk yardımda yaraya pamuk konulmamasının nedeni nedir?",İlk Yardım,Yaralar,Orta,"Pahalı olduğu için","Yaraya yapışıp lif bırakabildiği için","Kanı emmediği için","Kokabildiği için",B
"Kesik yaralanmalarda tetanoz riski neden önemlidir?",İlk Yardım,Yaralar,Orta,"Kanamayı artırır","Ciddi bir enfeksiyon hastalığına yol açabilir","Ağrıyı artırır","Önemsizdir",B
"Yaralı değerlendirmesinde ikinci değerlendirmede neye bakılır?",İlk Yardım,Değerlendirme,Zor,"Sadece nabza","Baştan ayağa görünür yaralanmalara","Sadece bilince","Kan grubuna",B
"Sıcak çarpması olan kişiye ne yapılır?",İlk Yardım,Sıcak-Soğuk,Orta,"Sıcak bir yere almak","Serin yere alıp vücudu soğutmak","Battaniyeye sarmak","Sıcak içecek vermek",B
"Donma tehlikesinde uzva ne yapılmaz?",İlk Yardım,Sıcak-Soğuk,Orta,"Kuru örtü ile ısıtmak","Kar ile ovmak","Hastaneye götürmek","Sıcak ortama almak",B
"Göze yabancı cisim kaçtığında ne yapılır?",İlk Yardım,Göz,Orta,"Ovuşturmak","Temiz su ile yıkamak ve ovmamak","Sivri cisimle çıkarmak","Kapatıp beklemek",B
"Bilinci açık göğüs ağrısı olan kişiye hangi pozisyon rahatlatır?",İlk Yardım,Pozisyon,Orta,"Sırtüstü düz","Yarı oturur pozisyon","Yüzüstü","Ayakta",B
"Kanamalı yaralıda değerli takılar neden çıkarılır?",İlk Yardım,Kanamalar,Kolay,"Kaybolmasın diye","Şişme olursa dolaşımı engellememesi için","Estetik için","Ağırlık yapmasın diye",B
"Suni solunumda hava nereye üflenir?",İlk Yardım,Yaşam Desteği,Orta,"Kulağa","Ağız ya da buruna","Göze","Göğse",B
"İlk yardımın ilkelerinden biri olan koruma neyi ifade eder?",İlk Yardım,Temel Kavramlar,Orta,"Yaralıyı taşımayı","Olay yerinde yeni kazaların oluşmasını önlemeyi","İlaç vermeyi","Beklemeyi",B
"Yaralıda solunum yoksa ancak nabız varsa ne yapılır?",İlk Yardım,Yaşam Desteği,Zor,"Sadece beklenir","Suni solunuma devam edilir","Sadece kalp masajı","Su verilir",B
"Ambulans gelene kadar bilinci kapalı hastada en kritik takip nedir?",İlk Yardım,Değerlendirme,Orta,"Ateş","Solunum ve nabzın sürekli kontrolü","Kan şekeri","Tansiyon aleti",B
"İlk yardım çantasında bulunması gereken malzeme hangisidir?",İlk Yardım,Malzeme,Kolay,"Antibiyotik","Steril sargı bezi ve makas","Ağrı kesici iğne","Serum",B
